V15,day,period
1,Sunday,P12
0,Sunday,P13
0,Sunday,P14
1,Sunday,P15
1,Sunday,P16
11,Sunday,P17
0,Sunday,P18
0,Sunday,P19
2,Sunday,P20
2,Sunday,P21
4,Sunday,P22
13,Sunday,P23
10,Sunday,P24
3,Sunday,P25
0,Sunday,P26
21,Sunday,P27
0,Sunday,P28
2,Sunday,P29
1,Sunday,P30
12,Sunday,P31
7,Sunday,P32
3,Sunday,P33
1,Sunday,P34
8,Sunday,P35
18,Sunday,P36
10,Sunday,P37
6,Sunday,P38
10,Sunday,P39
16,Sunday,P40
11,Sunday,P41
0,Sunday,P42
15,Sunday,P43
1,Sunday,P44
0,Sunday,P45
1,Sunday,P46
4,Sunday,P47
7,Monday,P0
0,Monday,P1
0,Monday,P2
0,Monday,P3
0,Monday,P4
0,Monday,P5
0,Monday,P6
1,Monday,P7
0,Monday,P8
1,Monday,P9
0,Monday,P10
1,Monday,P11
0,Monday,P12
0,Monday,P13
1,Monday,P14
13,Monday,P15
3,Monday,P16
23,Monday,P17
9,Monday,P18
27,Monday,P19
16,Monday,P20
1,Monday,P21
2,Monday,P22
25,Monday,P23
10,Monday,P24
6,Monday,P25
1,Monday,P26
17,Monday,P27
7,Monday,P28
1,Monday,P29
4,Monday,P30
24,Monday,P31
5,Monday,P32
1,Monday,P33
0,Monday,P34
11,Monday,P35
7,Monday,P36
4,Monday,P37
1,Monday,P38
18,Monday,P39
5,Monday,P40
16,Monday,P41
1,Monday,P42
5,Monday,P43
1,Monday,P44
1,Monday,P45
0,Monday,P46
6,Monday,P47
0,Tuesday,P0
0,Tuesday,P1
0,Tuesday,P2
0,Tuesday,P3
0,Tuesday,P4
0,Tuesday,P5
0,Tuesday,P6
1,Tuesday,P7
0,Tuesday,P8
2,Tuesday,P9
0,Tuesday,P10
1,Tuesday,P11
1,Tuesday,P12
1,Tuesday,P13
2,Tuesday,P14
12,Tuesday,P15
6,Tuesday,P16
19,Tuesday,P17
20,Tuesday,P18
21,Tuesday,P19
6,Tuesday,P20
3,Tuesday,P21
8,Tuesday,P22
22,Tuesday,P23
8,Tuesday,P24
5,Tuesday,P25
5,Tuesday,P26
18,Tuesday,P27
7,Tuesday,P28
1,Tuesday,P29
2,Tuesday,P30
13,Tuesday,P31
5,Tuesday,P32
4,Tuesday,P33
